"name","brand","ean","price","grammage","category","sale","image"
"REWE Beste Wahl Laugenbrezeln 770g","REWE Beste Wahl","4337256742658","1.99","770g (1 kg = 2,58 €)","Monats-Highlights","False","https://img.rewe-static.de/0444702/22880447_digital-image.png"
"Iglo Chicken Nuggets Classic 250g","Iglo","4250241209724","2.99","250g (1 kg = 11,96 €)","Monats-Highlights","True","https://img.rewe-static.de/9102046/43858289_digital-image.png"
"Rotkäppchen Sekt alkoholfrei 0,75l","Rotkäppchen-Mumm","4014741650017","4.99","0,75l (1 l = 6,65 €)","Monats-Highlights","False","https://img.rewe-static.de/0375612/732670_digital-image.png"
"Butcher's Burger Brioche Burger Buns 4 Stück","Butcher's Burger","4337256191371","1.69","250g (1 kg = 6,76 €)","Monats-Highlights","False","https://img.rewe-static.de/7937367/32850158_digital-image.png"
"Erdbeeren 500g","NA","4050373099862","3.49","500g (1 kg = 6,98 €)","Monats-Highlights","False","https://img.rewe-static.de/1098629/23731060_digital-image.png"
"REWE Beste Wahl Schlagsahne 500g","REWE Beste Wahl","4337256868310","2.89","500g (1 kg = 5,78 €)","Monats-Highlights","False","https://img.rewe-static.de/9990248/44574893_digital-image.png"
"Katjes Wunderland Rainbow Edition vegan 175g","Katjes","4037400344799","1.19","175g (1 kg = 6,80 €)","Monats-Highlights","False","https://img.rewe-static.de/7661802/40286110_digital-image.png"
"Butchers Burger Beef 230g","Butcher's Burger","4337256302302","3.33","230g (1 kg = 14,48 €)","Monats-Highlights","True","https://img.rewe-static.de/8635018/34451609_digital-image.png"
"Settele Eier-Spätzle geschabt 1kg","Settele","4006986014709","3.99","1000g","Monats-Highlights","False","https://img.rewe-static.de/0525043/22808559_digital-image.png"
"Thomy Mittelscharfer Delikatess Senf 200ml","Thomy","40056050","1.39","200ml (1 l = 6,95 €)","Monats-Highlights","False","https://img.rewe-static.de/0101486/3144530_digital-image.png"
"REWE Bio Weizen Landbrötchen 280g","REWE Bio","4337256530200","1.29","250g (1 kg = 5,16 €)","Monats-Highlights","False","https://img.rewe-static.de/8444009/31813515_digital-image.png"
"Moët & Chandon Champagner Rosé Impérial Brut 0,75l","Moët & Chandon","3185370074831","58.99","0,75l (1 l = 78,65 €)","Monats-Highlights","False","https://img.rewe-static.de/2588897/3255760_digital-image.png"
"Gösser Natur Radler 0,5l","Gösser","9028800638644","0.99","0,50l (1 l = 1,98 €)","Monats-Highlights","False","https://img.rewe-static.de/2828882/25247324_digital-image.png"
"Garnier SkinActive Tuchmaske Vitamin C 1 Stück","Garnier","3600542427531","1.79","28g (1 kg = 63,93 €)","Monats-Highlights","False","https://img.rewe-static.de/8649019/36686220_digital-image.png"
"REWE Beste Wahl Bäcker-Brötchen 360g","REWE Beste Wahl","4337256737944","0.99","360g (1 kg = 2,75 €)","Monats-Highlights","False","https://img.rewe-static.de/0138469/22496040_digital-image.png"
"Heinz Tomato Ketchup 220ml","Heinz","87157215","2.29","220ml (1 l = 10,41 €)","Monats-Highlights","False","https://img.rewe-static.de/1085756/29228064_digital-image.png"
"McCain Golden Longs 1kg","McCain","8710438035636","4.89","1000g","Monats-Highlights","False","https://img.rewe-static.de/6720617/27860518_digital-image.png"
"REWE Beste Wahl Röstzwiebeln 150g","REWE Beste Wahl","4337256119818","1.29","150g (1 kg = 8,60 €)","Monats-Highlights","False","https://img.rewe-static.de/1209186/23184041_digital-image.png"
"Butcher's Burger Sesam Burger Buns 4 Stück","Butcher's Burger","21169779","0.99","300g (1 kg = 3,30 €)","Monats-Highlights","True","https://img.rewe-static.de/7219821/32510789_digital-image.png"
"Babytime Feuchttücher sensitiv 2x80 Stück","Babytime","21337345","1.95","2x80 Stück","Monats-Highlights","False","https://img.rewe-static.de/8320041/29927825_digital-image.png"
"Super Dickmann's 250g, 9 Stück","Dickmann's","4035800407007","2.29","250g (1 kg = 9,16 €)","Monats-Highlights","False","https://img.rewe-static.de/4205960/1363350_digital-image.png"
"REWE Beste Wahl Fettarmer Joghurt mild 1,5 % Fett 1kg","REWE Beste Wahl","4337256651790","1.79","1kg","Monats-Highlights","False","https://img.rewe-static.de/8082671/29753704_digital-image.png"
"Heinz Einfach Lecker Mayonnaise 495ml","Heinz","8715700209159","3.29","495ml (1 l = 6,65 €)","Monats-Highlights","False","https://img.rewe-static.de/8280030/29291195_digital-image.png"
"Doritos Paprika 110g","Doritos","4062139005826","1.19","110g (1 kg = 10,82 €)","Monats-Highlights","True","https://img.rewe-static.de/8822160/36247726_digital-image.png"
"Zimbo Schinken Zwiebelmettwurst 120g","Zimbo","4063761540068","1.89","120g (1 kg = 15,75 €)","Monats-Highlights","False","https://img.rewe-static.de/0544307/5221300_digital-image.png"
"Pringles Sour Cream & Onion Chips 165g","Pringles","5053990127740","2.49","165g (1 kg = 15,09 €)","Monats-Highlights","False","https://img.rewe-static.de/3552434/42866554_digital-image.png"
"Heinz Barbecue Sauce 220ml","Heinz","8715700411194","2.29","220ml (1 l = 10,41 €)","Monats-Highlights","False","https://img.rewe-static.de/0332369/6896160_digital-image.png"
"REWE Bio Rinderhüftsteak 200g","REWE Bio","2168090000008","8.98","1 Stück ca. 200 g (1 kg = 44,90 €)","Monats-Highlights","False","https://img.rewe-static.de/2067251/22110892_digital-image.png"
"Pringles Original Chips 165g","Pringles","5053990127726","2.49","165g (1 kg = 15,09 €)","Monats-Highlights","False","https://img.rewe-static.de/3552433/42724306_digital-image.png"
"Ben & Jerry's Eis Cookie Dough 465ml","Ben & Jerry's","8711327373105","3.99","465ml (1 l = 8,58 €)","Monats-Highlights","True","https://img.rewe-static.de/8422570/43212452_digital-image.png"
"Hellmann's Real Salatmayonnaise 250ml","Hellmann's","8710522633830","1.49","250ml (1 l = 5,96 €)","Monats-Highlights","True","https://img.rewe-static.de/8893655/38877132_digital-image.png"
"Frosch Spiritus Glas-Reiniger Nachfüller 950ml","Frosch","4001499953958","2.69","950ml (1 l = 2,83 €)","Monats-Highlights","False","https://img.rewe-static.de/7960525/32049988_digital-image.png"
"Kneipp Geschenkset Pflege-Schaumbad Happy Bathtime 3x100ml","Kneipp","4008233153049","5.99","3x100ml (1 l = 59,90 €)","Monats-Highlights","False","https://img.rewe-static.de/8311604/30100990_digital-image.png"
"Innocent Direktsaft Orange ohne Fruchtfleisch 1350ml","Innocent","5038862435178","4.79","1350ml (1 l = 3,55 €)","Monats-Highlights","False","https://img.rewe-static.de/8641384/34183479_digital-image.png"
"Luftballons bunt 100 Stück","NA","9557869022519","3.99","1 Stück","Monats-Highlights","False","https://img.rewe-static.de/8485766/32412004_digital-image.png"
"Rügenwalder Mühle Veganes Mühlen Mett Fein 100g","Rügenwalder Mühle","4000405001714","1.99","100g (1 kg = 19,90 €)","Monats-Highlights","False","https://img.rewe-static.de/8771225/36084383_digital-image.png"
"Red Bull White Edition Kokos Blaubeere 4x0,25l","Red Bull","9002490257415","3.8","4x0,25l","Monats-Highlights","True","https://img.rewe-static.de/7706098/39510105_digital-image.png"
"Yeauty Eye Pad Mask Deep Hydration 1 Paar","NA","4260199892473","0.99","2 Stück","Monats-Highlights","False","https://img.rewe-static.de/8042498/32436890_digital-image.png"
"M&M's Peanut 250g","M&M's","4011100005846","3.99","250g (1 kg = 15,96 €)","Monats-Highlights","False","https://img.rewe-static.de/4348150/22301397_digital-image.png"
"Heinz Beanz Gebackene Bohnen 1000g","Heinz","4002473145710","3.49","1000g","Monats-Highlights","False","https://img.rewe-static.de/2162767/22288105_digital-image.png"
"Tassimo Kaffeekapseln Morning Café XL 163,8g, 21 Kapseln","Tassimo","8711000390757","5.89","163,80g (1 kg = 35,96 €)","Monats-Highlights","False","https://img.rewe-static.de/7181145/27791418_digital-image.png"
"Valensina Kids Bibi & Tina Roter Fruchtmix mit Schwarzkarotte 0,33l","Valensina","4009491020142","1.09","0,33l (1 l = 3,30 €)","Monats-Highlights","False","https://img.rewe-static.de/7857873/35906275_digital-image.png"
"Unser Land Bio Gurken geviertelt 360g","Unser Land","4022621460069","3.29","360g (1 kg = 9,14 €)","Monats-Highlights","False","https://img.rewe-static.de/0248778/1178170_digital-image.png"
"Ahoj-Brause Brause-Pulver 58g","Ahoj-Brause","40335711","0.89","58g (1 kg = 15,34 €)","Monats-Highlights","False","https://img.rewe-static.de/4000960/21332763_digital-image.png"
"Weleda Aktiv Duschgel Men 200ml","Weleda","7611916153600","6.49","200ml (1 l = 32,45 €)","Monats-Highlights","False","https://img.rewe-static.de/2217800/25183978_digital-image.png"
"NIVEA Pflegeseife Creme Soft Nachfüllbeutel 500ml","NIVEA","4005808807017","2.29","500ml (1 l = 4,58 €)","Monats-Highlights","False","https://img.rewe-static.de/3555674/1267230_digital-image.png"
"Yogi Tea Bio Tee Sweet Chai 34g 17 Beutel","Yogi Tea","4012824400665","2.75","34g (1 kg = 80,88 €)","Monats-Highlights","False","https://img.rewe-static.de/1383258/20285113_digital-image.png"
